rank,dataset,classifier,params,accuracy,macro_f1,balanced_accuracy,source_file
58,mfeat_zernike,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.574,0.571650107,0.763333333,mfeat_zernike.tsv.gz
59,spect,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.573033708,0.483821734,0.502229846,spect.tsv.gz
60,kr_vs_kp,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.561952441,0.554104582,0.568970043,kr_vs_kp.tsv.gz
61,mfeat_fourier,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.553,0.552055536,0.751666667,mfeat_fourier.tsv.gz
62,schizo,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.552941176,0.330585082,0.516613408,schizo.tsv.gz
63,threeOf9,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.552734375,0.537474112,0.542645525,threeOf9.tsv.gz
64,analcatdata_boxing1,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.55,0.480102696,0.483516484,analcatdata_boxing1.tsv.gz
65,analcatdata_boxing2,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.545454545,0.545454545,0.548603094,analcatdata_boxing2.tsv.gz
66,balance_scale,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.5424,0.397859945,0.56592237,balance_scale.tsv.gz
67,waveform_40,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.5344,0.531662268,0.651372503,waveform_40.tsv.gz
68,ring,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.533513514,0.531933061,0.534129454,ring.tsv.gz
69,chess,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.531914894,0.517842744,0.540572472,chess.tsv.gz
70,connect_4,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.525793034,0.396066509,0.561263144,connect_4.tsv.gz
71,bupa,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.52173913,0.52173913,0.521954008,bupa.tsv.gz
72,tic_tac_toe,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.520876827,0.500167663,0.506072212,tic_tac_toe.tsv.gz
73,analcatdata_aids,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.52,0.516908213,0.52,analcatdata_aids.tsv.gz
74,sonar,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.519230769,0.50263032,0.5092412,sonar.tsv.gz
75,analcatdata_asbestos,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.518072289,0.518002323,0.525558167,analcatdata_asbestos.tsv.gz
76,Hill_Valley_without_noise,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.51650165,0.51051835,0.517647059,Hill_Valley_without_noise.tsv.gz
77,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.515,0.503061042,0.515,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001.tsv.gz
78,GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.509375,0.50243218,0.509375,GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1.tsv.gz
79,mux6,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.5078125,0.462937063,0.5078125,mux6.tsv.gz
80,monk1,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.507194245,0.503797798,0.507194245,monk1.tsv.gz
