Dataset,Dataset_Type,Balanced_Accuracy_Seed1,Balanced_Accuracy_Seed374,Balanced_Accuracy_Seed714,Balanced_Accuracy_Average,Accuracy_Seed1,Accuracy_Seed374,Accuracy_Seed714,Accuracy_Average,Macro_F1_Score_Seed1,Macro_F1_Score_Seed374,Macro_F1_Score_Seed714,Macro_F1_Score_Average,Times_Seed1,Times_Seed374,Times_Seed714,Times_Average
analcatdata_authorship,top,0.9983108108108107,0.997710318700203,0.9983108108108107,0.9981106467739416,0.9976218787158144,0.9976218787158144,0.9976218787158144,0.9976218787158144,0.9983663788508688,0.9962063974348552,0.9983663788508688,0.9976463850455309,0.5098618000047281,0.6581816000398248,0.8015912000555545,0.6565448667000359
analcatdata_bankruptcy,top,0.8999999999999999,0.92,0.9,0.9066666666666666,0.9,0.92,0.9,0.9066666666666667,0.8996386993175431,0.9194847020933976,0.898989898989899,0.90603776680028,0.0557706000399775,0.047969700070098,0.047767800046131,0.05050270005206883
analcatdata_creditscore,top,0.8759512937595129,0.8868594622019279,0.8566717402333841,0.8731608320649417,0.87,0.92,0.91,0.9,0.8466800330227622,0.896049896049896,0.8783619408028112,0.8736972899584897,0.1823495000135153,0.1640552000608295,0.1199148001614958,0.15543983341194686
analcatdata_lawsuit,top,0.9412459720730396,0.961439312567132,0.9226638023630503,0.941783029001074,0.981060606060606,0.9734848484848484,0.9015151515151516,0.952020202020202,0.930784961459808,0.91138815631743,0.7624255849370067,0.8681995675714149,0.1091793000232428,0.3246299000456929,0.1326940997969359,0.1888344332886239
ann_thyroid,top,0.93994962290886,0.948194642670134,0.946992397642069,0.945045554407021,0.9884722222222222,0.9886111111111112,0.9883333333333332,0.9884722222222222,0.9331659505334052,0.937177805699846,0.9397630276645068,0.9367022612992527,7.037385900039226,4.829946900019422,7.558180399937555,6.475171066665401
cars,top,0.7357621529624508,0.7301821994620633,0.6945170473252592,0.7201537999165911,0.8163265306122449,0.8112244897959183,0.7857142857142857,0.8044217687074829,0.7331346358047478,0.7284003601516802,0.6959551367252267,0.7191633775605516,0.4236764999805018,0.47877879999578,0.5826642999891192,0.49503986665513366
chess,top,0.994057239314861,0.9946842593257454,0.9939736628052748,0.9942383871486271,0.9940550688360452,0.9946808510638298,0.9940550688360452,0.9942636629119734,0.9940434752541436,0.9946704778589706,0.9940424654366556,0.9942521395165899,0.9408922999864444,2.146206600125879,1.510375800076872,1.5324915667297319
clean1,top,0.9546540236697018,0.9396045471687948,0.9516818418547852,0.9486468042310939,0.953781512605042,0.9411764705882352,0.9516806722689076,0.9488795518207284,0.9531328320802004,0.9400934915498024,0.9509267352473162,0.948051019625773,0.4771580999949947,0.6170386001467705,0.594644500175491,0.5629470667724187
clean2,top,0.9997312309621932,0.999820820641462,0.9992395888776306,0.9995972134937618,0.9995453167626552,0.9996968778417702,0.9993937556835404,0.9995453167626552,0.999129202327952,0.9994192351296732,0.998838470259346,0.9991289692389905,3.056899200018961,20.322671599918976,11.673427699832246,11.684332833256727
collins,top,0.7366153565088657,,,0.7366153565088657,0.7814432989690722,,,0.7814432989690722,0.7394185549547093,,,0.7394185549547093,0.6224263999611139,,,0.6224263999611139
confidence,top,0.8333333333333334,0.8333333333333334,0.8472222222222223,0.8379629629629631,0.8333333333333334,0.8333333333333334,0.8472222222222222,0.8379629629629629,0.8253726708074534,0.8322507685551165,0.8453381642512078,0.8343205345379259,0.097201100026723,0.1561628999188542,0.0782176998909562,0.11052723327884446
corral,top,0.9095238095238096,0.9785714285714286,0.9746031746031746,0.9542328042328042,0.9125,0.98125,0.975,0.9562499999999999,0.910813823857302,0.9808543735790356,0.9746031746031746,0.9554237906798374,0.1523963999934494,0.3063968000933528,0.290377400116995,0.24972353340126574
iris,top,0.9466666666666668,0.9666666666666668,0.9333333333333332,0.9488888888888889,0.9466666666666668,0.9666666666666668,0.9333333333333332,0.9488888888888889,0.9467683905964072,0.9666633329999668,0.9336502277678748,0.9490273171214163,0.1064457000466063,0.2037434999365359,0.1632441999390721,0.1578111333074048
irish,top,0.9964028776978416,0.9905535031434312,0.9905535031434312,0.9925032946615681,0.996,0.99,0.99,0.992,0.9959527933820076,0.9898863631766528,0.9898863631766528,0.9919085065784378,0.2469875999959185,0.4164269000757485,0.8555111999157816,0.5063085666624829
kr_vs_kp,top,0.9946564004892168,0.9937855175642116,0.993458078140505,0.9939666653979778,0.9946808510638298,0.9937421777221528,0.9934292866082604,0.993950771798081,0.9946701809020964,0.9937304886962436,0.9934168342717749,0.993939167956705,0.6246442999690771,0.4586722999811172,5.3903305002022535,2.1578823667174825
labor,top,0.8844594594594595,0.8324324324324325,0.8824324324324324,0.8664414414414413,0.8947368421052632,0.8421052631578947,0.8771929824561403,0.8713450292397661,0.8844594594594595,0.828600066822586,0.8693088765149034,0.860789467598983,0.0576905999914743,0.1781043999362737,0.105980799999088,0.11392526664227866
