rank,dataset,classifier,params,accuracy,macro_f1,balanced_accuracy,source_file
55,labor,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.8947368421052632,0.8869047619047619,0.895945945945946,labor.tsv.gz
56,biomed,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.8947368421052632,0.8818602261048305,0.8709452736318408,biomed.tsv.gz
57,molecular_biology_promoters,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.8867924528301887,0.8867924528301887,0.8867924528301887,molecular_biology_promoters.tsv.gz
58,appendicitis,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.8867924528301887,0.7992424242424242,0.7680672268907562,appendicitis.tsv.gz
59,analcatdata_japansolvent,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.8846153846153846,0.8844444444444444,0.8844444444444444,analcatdata_japansolvent.tsv.gz
60,satimage,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.8818958818958819,0.8583586451946904,0.9133280672865612,satimage.tsv.gz
61,confidence,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.875,0.8736956521739129,0.9249999999999999,confidence.tsv.gz
62,ecoli,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.8746177370030581,0.8308716911439301,0.8921615958193087,ecoli.tsv.gz
63,glass2,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.8711656441717791,0.8695751571727948,0.8676648517846339,glass2.tsv.gz
64,tic_tac_toe,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.8611691022964509,0.8267501546703652,0.7996987951807228,tic_tac_toe.tsv.gz
65,backache,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.8611111111111112,0.4994994994994995,0.516774193548387,backache.tsv.gz
66,lymphography,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.8581081081081081,0.5994047619047619,0.7454577433686622,lymphography.tsv.gz
67,balance_scale,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.856,0.5949467350031626,0.765506511704583,balance_scale.tsv.gz
68,sonar,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.8557692307692307,0.8538230884557722,0.8518621714498003,sonar.tsv.gz
69,analcatdata_cyyoung9302,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.8478260869565217,0.7351973684210527,0.7094448449891853,analcatdata_cyyoung9302.tsv.gz
70,hepatitis,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.8451612903225807,0.7384701912260967,0.717479674796748,hepatitis.tsv.gz
71,adult,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.8427992301707546,0.7518008874871299,0.7238905946458365,adult.tsv.gz
72,magic,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.8390641430073607,0.8093298832368716,0.7915841541902111,magic.tsv.gz
73,waveform_40,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.829,0.8284874292406785,0.8720252804536605,waveform_40.tsv.gz
74,analcatdata_cyyoung8092,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.8247422680412371,0.7371273712737128,0.7157534246575342,analcatdata_cyyoung8092.tsv.gz
75,waveform_21,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.8208,0.8199807958428648,0.8654253808879142,waveform_21.tsv.gz
76,movement_libras,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.8194444444444444,0.8183292962536994,0.9032738095238096,movement_libras.tsv.gz
77,prnn_synth,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.816,0.8159528839382881,0.8160000000000001,prnn_synth.tsv.gz
78,phoneme,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.8118060695780903,0.7729729823511583,0.7728221400322492,phoneme.tsv.gz
79,analcatdata_asbestos,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.8072289156626506,0.8049353701527615,0.8049353701527615,analcatdata_asbestos.tsv.gz
80,spect,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.8052434456928839,0.6895348837209303,0.6821183533447684,spect.tsv.gz
81,letter,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.8039,0.8057738234219936,0.8976276575054392,letter.tsv.gz
82,hayes_roth,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.79375,0.8292932330827067,0.8572762033288349,hayes_roth.tsv.gz
83,monk1,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.7805755395683454,0.7698550567287334,0.7805755395683454,monk1.tsv.gz
84,fars,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.7697785436970129,0.3909910785002426,0.6959045938200176,fars.tsv.gz
85,mfeat_zernike,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.769,0.7633054223099377,0.8716666666666667,mfeat_zernike.tsv.gz
86,mfeat_morphological,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.7425,0.7256711401106792,0.8569444444444443,mfeat_morphological.tsv.gz
87,led7,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.7425,0.735232197049317,0.8549700873568895,led7.tsv.gz
88,breast_cancer,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.7412587412587412,0.6144990892531876,0.6088381621305239,breast_cancer.tsv.gz
89,vehicle,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.7387706855791962,0.7339840885369108,0.8272914172260416,vehicle.tsv.gz
90,lupus,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.735632183908046,0.7175723359209598,0.7134615384615384,lupus.tsv.gz
91,analcatdata_boxing1,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.7333333333333333,0.7,0.6959706959706959,analcatdata_boxing1.tsv.gz
92,haberman,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.7254901960784313,0.5409999999999999,0.548641975308642,haberman.tsv.gz
93,led24,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.71875,0.7179578358363787,0.8436284726898615,led24.tsv.gz
94,sleep,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.7091249008573479,0.5496449599891509,0.721317975234277,sleep.tsv.gz
95,analcatdata_fraud,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.6904761904761905,0.6108339272986457,0.6061007957559682,analcatdata_fraud.tsv.gz
96,analcatdata_boxing2,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.6893939393939394,0.6796685409884582,0.6800969752943893,analcatdata_boxing2.tsv.gz
97,profb,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.6711309523809523,0.5200853112730446,0.5446428571428572,profb.tsv.gz
98,tae,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.6688741721854304,0.6680739649811814,0.7512741402499286,tae.tsv.gz
99,saheart,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.6645021645021645,0.6020671834625323,0.5993791390728477,saheart.tsv.gz
100,postoperative_patient_data,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.6590909090909091,0.3972602739726027,0.453125,postoperative_patient_data.tsv.gz
101,connect_4,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.6583033586452921,0.26464934987652117,0.5,connect_4.tsv.gz
102,monk2,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.6572379367720466,0.3965863453815261,0.5,monk2.tsv.gz
103,wine_quality_red,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.6447779862414009,0.30400155609052365,0.6022368518218358,wine_quality_red.tsv.gz
104,yeast,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.6213657876943881,0.5409881091426697,0.7396475263806083,yeast.tsv.gz
105,analcatdata_aids,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.62,0.6186270574066639,0.6200000000000001,analcatdata_aids.tsv.gz
106,calendarDOW,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.6190476190476191,0.5921134654191891,0.7475791261033625,calendarDOW.tsv.gz
107,bupa,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.5710144927536231,0.5707223567393058,0.5717791823561054,bupa.tsv.gz
108,Hill_Valley_with_noise,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.5668316831683168,0.564690614269911,0.5668316831683169,Hill_Valley_with_noise.tsv.gz
109,Hill_Valley_without_noise,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.5610561056105611,0.5549469208575492,0.5599509803921568,Hill_Valley_without_noise.tsv.gz
110,wine_quality_white,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.5481829318089015,0.21481646910438892,0.5555274461104603,wine_quality_white.tsv.gz
111,schizo,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.5470588235294118,0.3592792488896385,0.5259824964672223,schizo.tsv.gz
112,flags,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.5224719101123596,0.4556659987470373,0.6650170394426901,flags.tsv.gz
113,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.52125,0.5080590650232243,0.52125,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001.tsv.gz
114,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.5125,0.5049182877154677,0.5125,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001.tsv.gz
115,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.50625,0.5060987427399641,0.5062500000000001,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1.tsv.gz
