dataset,target_column,rows,features,classes,class_imbalance,missing_values_count,missing_values_ratio,numeric_features,categorical_features,feature_type,xgb_accuracy,xgb_macro_f1,xgb_balanced_accuracy,rf_accuracy,rf_macro_f1,rf_balanced_accuracy,logreg_accuracy,logreg_macro_f1,logreg_balanced_accuracy,n_models_success,mean_accuracy_3models,mean_macro_f1_3models,mean_balanced_accuracy_3models,std_accuracy_3models,selected_for_mlp_eval,selection_rank_top40,selection_score,selection_justification_short
cloud.tsv.gz,target,108,7,4,0.003772291,0,0,7,0,numeric,0.361111111,0.354405154,0.570028587,0.481481481,0.475519132,0.652365288,0.398148148,0.369042708,0.596620457,3,0.413580247,0.399655665,0.606338111,0.050337983,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
coil2000.tsv.gz,target,9822,85,2,0.387795138,0,0,85,0,numeric,0.924557117,0.489656933,0.497202666,0.940338017,0.484625879,0.5,0.9368764,0.499312645,0.50615044,3,0.933923844,0.491198485,0.501117702,0.006772365,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
collins.tsv.gz,target,485,23,13,0.020290229,0,0,23,0,numeric,,,,1,1,1,0.649484536,0.618489632,0.795524773,2,0.824742268,0.809244816,0.897762386,0.175257732,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
confidence.tsv.gz,target,72,3,6,0,0,0,3,0,numeric,0.722222222,0.726103957,0.833333333,0.875,0.873695652,0.925,0.75,0.733740596,0.85,3,0.782407407,0.777846735,0.869444444,0.066447686,TRUE,24,0.813450061,"selected: all-3-model coverage; avg_acc=0.782, avg_macro_f1=0.778, avg_bal_acc=0.869; stability_std_acc=0.066; small dataset (72 rows, 3 features), well-balanced (class_imbalance=0.000)"
connect_4.tsv.gz,target,67557,42,3,0.169775035,0,0,42,0,numeric,0.525793034,0.396066509,0.561263144,0.658303359,0.26464935,0.5,0.660553311,0.284367155,0.506949324,3,0.614883234,0.315027671,0.522737489,0.063002981,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
corral.tsv.gz,target,160,6,2,0.0078125,0,0,6,0,numeric,0.575,0.565217391,0.565079365,1,1,1,0.86875,0.863630829,0.857936508,3,0.814583333,0.809616073,0.807671958,0.177682809,TRUE,22,0.819997157,"selected: all-3-model coverage; avg_acc=0.815, avg_macro_f1=0.810, avg_bal_acc=0.808; stability_std_acc=0.178; small dataset (160 rows, 6 features), well-balanced (class_imbalance=0.008)"
dermatology.tsv.gz,target,366,34,6,0.034548658,0,0,34,0,numeric,,,,0.972677596,0.963369705,0.976819279,0.978142077,0.976667373,0.98607679,2,0.975409836,0.970018539,0.981448035,0.00273224,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
dis.tsv.gz,target,3772,29,2,0.469719955,0,0,29,0,numeric,0.878844115,0.472078053,0.463256457,0.984623542,0.496126102,0.5,0.930275716,0.489420003,0.489373851,3,0.931247791,0.485874719,0.484210103,0.04318974,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
dna.tsv.gz,target,3186,180,3,0.051789865,0,0,180,0,numeric,,,,0.930634024,0.921626059,0.945415073,0.949780289,0.943785613,0.9609765,2,0.940207156,0.932705836,0.953195786,0.009573132,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
ecoli.tsv.gz,target,327,7,5,0.087171862,0,0,7,0,numeric,,,,0.874617737,0.830871691,0.892161596,0.868501529,0.821513744,0.894337925,2,0.871559633,0.826192718,0.893249761,0.003058104,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
fars.tsv.gz,target,100968,29,8,0.13693189,0,0,29,0,numeric,,,,0.769778544,0.390991079,0.695904594,0.675124792,0.353155605,0.651128559,2,0.722451668,0.372073342,0.673516576,0.047326876,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
flags.tsv.gz,target,178,43,5,0.035134453,0,0,43,0,numeric,,,,0.52247191,0.455665999,0.665017039,0.443820225,0.356400881,0.6093594,2,0.483146067,0.40603344,0.63718822,0.039325843,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
glass2.tsv.gz,target,163,9,2,0.00227709,0,0,9,0,numeric,0.595092025,0.577786499,0.584089534,0.871165644,0.869575157,0.867664852,0.668711656,0.668599398,0.673018754,3,0.711656442,0.705320351,0.708257713,0.116725752,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
haberman.tsv.gz,target,306,3,2,0.110726644,0,0,3,0,numeric,,,,0.725490196,0.541,0.548641975,0.483660131,0.472758997,0.534320988,2,0.604575163,0.506879498,0.541481481,0.120915033,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
hayes_roth.tsv.gz,target,160,4,3,0.029244792,0,0,4,0,numeric,,,,0.79375,0.829293233,0.857276203,0.4875,0.445633593,0.650506986,2,0.640625,0.637463413,0.753891594,0.153125,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
hepatitis.tsv.gz,target,155,19,2,0.172341311,0,0,19,0,numeric,,,,0.84516129,0.738470191,0.717479675,0.819354839,0.724339431,0.724339431,2,0.832258065,0.731404811,0.720909553,0.012903226,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
hypothyroid.tsv.gz,target,3163,25,2,0.409079142,0,0,25,0,numeric,0.878596269,0.536853665,0.558824305,0.977552956,0.859163824,0.815224752,0.870376225,0.554812908,0.598541815,3,0.908841817,0.650276799,0.657530291,0.048701867,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
ionosphere.tsv.gz,target,351,34,2,0.039776463,0,0,34,0,numeric,0.584045584,0.554072398,0.555079365,0.94017094,0.933654963,0.925396825,0.863247863,0.848652533,0.842698413,3,0.795821462,0.778793298,0.774391534,0.153005571,TRUE,28,0.792724227,"selected: all-3-model coverage; avg_acc=0.796, avg_macro_f1=0.779, avg_bal_acc=0.774; stability_std_acc=0.153; small dataset (351 rows, 34 features), well-balanced (class_imbalance=0.040)"
iris.tsv.gz,target,150,4,3,0,0,0,4,0,numeric,0.44,0.431935796,0.58,0.953333333,0.953328666,0.965,0.866666667,0.861175259,0.9,3,0.753333333,0.74881324,0.815,0.224367424,TRUE,34,0.779501301,"selected: all-3-model coverage; avg_acc=0.753, avg_macro_f1=0.749, avg_bal_acc=0.815; stability_std_acc=0.224; small dataset (150 rows, 4 features), well-balanced (class_imbalance=0.000)"
irish.tsv.gz,target,500,5,2,0.006272,0,0,5,0,numeric,1,1,1,1,1,1,0.756,0.753535354,0.754261456,3,0.918666667,0.917845118,0.918087152,0.115022703,TRUE,8,0.921987313,"selected: all-3-model coverage; avg_acc=0.919, avg_macro_f1=0.918, avg_bal_acc=0.918; stability_std_acc=0.115; small dataset (500 rows, 5 features), well-balanced (class_imbalance=0.006)"
kddcup.tsv.gz,target,494020,41,23,0.3654858,0,0,41,0,numeric,,,,,,,,,,0,,,,,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
